import time: self [us] | cumulative | imported package
import time:       217 |        217 |   _io
import time:        49 |         49 |   marshal
import time:       445 |        445 |   posix
import time:       326 |       1036 | _frozen_importlib_external
import time:        86 |         86 |   time
import time:        83 |        169 | zipimport
import time:        82 |         82 |     _codecs
import time:       222 |        304 |   codecs
import time:       344 |        344 |   encodings.aliases
import time:       503 |       1150 | encodings
import time:       173 |        173 | encodings.utf_8
import time:        74 |         74 | _signal
import time:        26 |         26 |     _abc
import time:        92 |        117 |   abc
import time:       127 |        244 | io
import time:        66 |         66 |       _stat
import time:        88 |        154 |     stat
import time:       961 |        961 |     _collections_abc
import time:        26 |         26 |       genericpath
import time:        51 |         76 |     posixpath
import time:       263 |       1452 |   os
import time:        57 |         57 |   _sitebuiltins
import time:     23173 |      23173 |   _virtualenv
import time:     16320 |      16320 |   _distutils_hack
import time:       365 |        365 |   types
import time:       237 |        237 |       warnings
import time:       152 |        389 |     importlib
import time:       157 |        157 |     importlib._abc
import time:        82 |         82 |         itertools
import time:       100 |        100 |         keyword
import time:       107 |        107 |           _operator
import time:       213 |        320 |         operator
import time:       144 |        144 |         reprlib
import time:        59 |         59 |         _collections
import time:       686 |       1388 |       collections
import time:       123 |        123 |         _functools
import time:       437 |        559 |       functools
import time:       426 |       2373 |     contextlib
import time:       157 |        157 |       _weakrefset
import time:       994 |       1151 |     threading
import time:       119 |       4186 |   importlib.util
import time:        50 |         50 |   importlib.machinery
import time:      3382 |       3382 |   sitecustomize
import time:    222633 |     271615 | site
import time:     26026 |      26026 |   endo_pipeline
import time:       154 |        154 |     collections.abc
import time:      1129 |       1129 |         enum
import time:        62 |         62 |           _sre
import time:       206 |        206 |             re._constants
import time:       277 |        482 |           re._parser
import time:       112 |        112 |           re._casefix
import time:       249 |        904 |         re._compiler
import time:       143 |        143 |         copyreg
import time:       478 |       2652 |       re
import time:        44 |         44 |       _typing
import time:      1895 |       4590 |     typing
import time:        83 |         83 |           math
import time:       110 |        110 |           _datetime
import time:       906 |       1099 |         datetime
import time:       787 |        787 |             _ast
import time:       772 |       1559 |           ast
import time:        37 |         37 |               _opcode
import time:       271 |        307 |             opcode
import time:       604 |        911 |           dis
import time:       136 |        136 |               token
import time:       863 |        999 |             tokenize
import time:       140 |       1139 |           linecache
import time:      1394 |       5001 |         inspect
import time:      1638 |       1638 |                   platform
import time:     18812 |      20449 |                 attr._compat
import time:       146 |        146 |                   __future__
import time:       322 |        322 |                     weakref
import time:        67 |         67 |                         org
import time:        14 |         80 |                       org.python
import time:        13 |         92 |                     org.python.core
import time:       182 |        595 |                   copy
import time:        51 |         51 |                   unicodedata
import time:     18424 |      18424 |                   attr._config
import time:     17595 |      17595 |                     attr.exceptions
import time:     16899 |      34494 |                   attr.setters
import time:     20070 |      73777 |                 attr._make
import time:     21946 |     116172 |               attr.converters
import time:     18509 |      18509 |               attr.filters
import time:     17716 |      17716 |               attr.validators
import time:     21072 |      21072 |               attr._cmp
import time:     14572 |      14572 |               attr._funcs
import time:     24426 |      24426 |               attr._next_gen
import time:     15727 |      15727 |               attr._version_info
import time:     25751 |     253941 |             attr
import time:     29087 |      29087 |             attrs.converters
import time:     23748 |      23748 |             attrs.exceptions
import time:     15770 |      15770 |             attrs.filters
import time:     18537 |      18537 |             attrs.setters
import time:     19162 |      19162 |             attrs.validators
import time:     28573 |     388815 |           attrs
import time:     25823 |     414637 |         cyclopts.annotations
import time:     24873 |      24873 |           cyclopts.utils
import time:     32813 |      32813 |           cyclopts.group
import time:     18162 |      18162 |           cyclopts.token
import time:     31395 |     107241 |         cyclopts.exceptions
import time:     20441 |      20441 |         cyclopts.field_info
import time:     27460 |     575876 |       cyclopts._convert
import time:       125 |        125 |             fnmatch
import time:        66 |         66 |             errno
import time:        71 |         71 |             zlib
import time:       174 |        174 |               _compression
import time:        36 |         36 |               _bz2
import time:       193 |        401 |             bz2
import time:        69 |         69 |               _lzma
import time:       193 |        261 |             lzma
import time:       612 |       1535 |           shutil
import time:        30 |         30 |               _bisect
import time:       113 |        143 |             bisect
import time:        30 |         30 |             _random
import time:       233 |        233 |             _sha512
import time:       359 |        763 |           random
import time:       560 |       2856 |         tempfile
import time:        69 |         69 |             _winapi
import time:        58 |         58 |             nt
import time:        52 |         52 |             nt
import time:        53 |         53 |             nt
import time:        50 |         50 |             nt
import time:        61 |         61 |             nt
import time:        87 |        427 |           ntpath
import time:       102 |        102 |             urllib
import time:      1041 |       1041 |             ipaddress
import time:       851 |       1993 |           urllib.parse
import time:       642 |       3062 |         pathlib
import time:     21183 |      27100 |       cyclopts._edit
import time:     18988 |      18988 |       cyclopts._env_var
import time:     21084 |      21084 |         cyclopts.parameter
